nombre,descripcion,precio,stock
Lápiz Negro,Lápiz de grafito HB para dibujo y escritura,150.5,200
Cuaderno A4,Cuaderno tapa dura de 80 hojas rayadas,1200.0,45
Bolígrafo Azul,Bolígrafo retráctil con tinta azul,220.75,150
Resaltador Amarillo,Marcador fluorescente color amarillo,350.0,80
Goma de Borrar,Goma blanca suave para lápiz,90.0,300
Regla 30cm,Regla plástica transparente de 30 centímetros,250.0,100
Tijera Escolar,Tijera de acero inoxidable con mango plástico,600.0,60
Marcador Negro,Marcador permanente negro punta fina,480.0,90
Lapicera Gel Roja,Lapicera de gel color rojo,270.0,120
Carpeta A4,Carpeta plástica con anillos,950.0,40
Pegamento Escolar,Pegamento líquido transparente 60ml,330.0,85
Cuaderno Universitario,Cuaderno universitario tapa blanda 100 hojas,1350.0,70
Corrector Líquido,Corrector líquido con pincel aplicador,410.0,55
Set de Fibrones,Pack de 10 fibrones de colores surtidos,2400.0,35
Cartuchera,Cartuchera de tela con cierre,1100.0,50
Mochila Escolar,Mochila con compartimiento para notebook,14500.0,20
Hoja A4 resma,Resma de 500 hojas A4,6500.0,25
Lapicera Gel Negra,Lapicera de gel color negro,270.0,130
Marcador Verde,Marcador permanente color verde,480.0,75
Resaltador Rosa,Marcador fluorescente color rosa,350.0,65
Compás Escolar,Compás metálico para geometría,890.0,45
Pincel N°6,Pincel sintético para acuarela,430.0,90
Acuarelas 12 Colores,Set de 12 pastillas de acuarela,2750.0,25
Témpera Blanca,Témpera escolar color blanco 250ml,920.0,40
Block de Dibujo,Block A4 de 40 hojas lisas,1850.0,30
Lapicera Gel Verde,Lapicera de gel color verde,270.0,100
Tiza Blanca,Caja de 12 tizas blancas,380.0,50
Cinta Adhesiva,Cinta transparente de 18mm x 30m,260.0,75
Papel Manteca,Rollo de papel manteca 30cm x 10m,1250.0,40
Cartulina Blanca,Cartulina tamaño A3,180.0,90
